source,Target,weight
43259,43249,5
84081,84141,5
43489,43499,5
64221,64131,3
59349,59061,2
64009,64019,4
23259,23249,1
18019,15059,10
72011,72021,7
84631,84601,10
52221,52299,1
83249,83229,1
84341,84219,2
46479,46469,2
60209,60089,1
75411,75371,2
54189,54221,7
29059,29129,1
59709,59349,3
45339,45349,2
48059,48049,3
94089,94039,12
10431,10441,1
46711,47071,2
27071,27021,1
75161,75201,3
75409,84481,1
75201,75081,2
14119,14069,1
62031,62041,9
3339,3539,2
92241,2119,1
11169,11159,5
68039,68029,2
1211,1311,17
21211,28099,3
12151,12031,3
83081,84011,11
71091,72019,15
77309,77061,5
15209,15199,7
59011,59021,14
55349,55339,2
74029,74019,1
48101,57141,1
92111,92121,8
59721,59501,1
17229,17179,1
62089,62079,4
55209,54469,1
9169,9179,14
99011,99021,8
1611,1631,1
64169,64159,1
43069,43059,11
20191,20149,3
21691,22491,3
58509,58499,1
83111,60069,1
52059,52361,8
14309,14379,2
64131,77339,2
27469,27479,2
52419,52409,3
43279,43268,5
28541,28551,2
27479,21169,1
42181,42191,8
59359,59651,1
10141,10151,12
64039,64369,7
25729,25719,1
46109,46059,2
44181,44189,1
55121,56209,3
76101,76031,12
65069,65059,5
57019,56099,5
44151,44131,6
55341,55021,2
67421,67311,1
76469,76429,3
46331,46221,2
14509,14499,1
46019,46079,1
59051,59611,3
1611,1621,5
1219,1239,2
28091,21229,5
21419,22491,1
44689,44629,3
40011,41119,1
55509,55171,3
47051,47061,1
21311,21321,1
21269,21511,1
52219,52249,1
44611,44701,4
31041,31051,2
84611,84631,10
78119,78221,2
99041,99181,4
63089,63079,8
16119,16109,1
43231,43241,6
52291,52229,1
76199,76541,2
23149,23139,1
2161,2051,1
11259,11381,1
53359,53349,6
97331,97321,1
28241,28251,2
54279,54269,12
52151,52219,1
70301,62011,9
14291,14269,2
62119,66089,1
14399,14509,1
84709,84489,6
96039,96029,3
43169,43261,1
13069,13059,5
67101,65061,1
43521,44129,1
21029,21779,2
65231,65181,2
75261,75271,1
55311,55239,3
44701,44691,4
84581,84571,1
27431,27389,2
77249,78049,9
11219,11209,9
28059,28309,1
76239,76311,2
64349,63389,1
49159,49149,3
46369,46611,3
96301,96411,1
77029,77329,2
10081,10339,1
11211,11221,8
17259,17191,1
96261,96161,4
55081,55101,6
3019,3059,23
84499,84489,10
11539,11529,4
43409,43469,2
56071,56081,6
45011,45021,10
64029,64429,6
28241,28439,10
53371,53321,5
46391,46401,2
84019,82069,1
22009,22499,7
12111,17119,1
84219,84199,6
28249,20019,1
76269,76259,4
55189,54399,1
27141,27159,3
10249,10239,2
43889,9219,1
76359,76229,1
80101,80319,2
83099,83079,14
59691,59661,2
40359,40339,1
41119,41109,11
17409,17399,1
8031,46999,1
18319,18309,2
77029,77039,11
15221,16201,7
31021,31031,2
10229,6069,1
53331,53341,5
80031,80051,14
44231,44229,4
66221,66231,1
70151,70161,11
77339,77289,7
41151,40251,7
82151,82171,1
18281,18289,2
95049,95069,4
83081,84581,1
28239,28659,1
96079,85079,1
56029,56019,5
45251,45311,3
84191,84211,4
77329,77379,2
28629,28321,1
75101,75081,2
65021,65031,5
92071,92081,16
46088,46111,4
25079,25069,1
45489,45029,1
28681,28691,3
47131,47141,2
76059,76069,11
21149,21069,2
28231,28241,11
32031,32041,2
54289,54279,13
54471,54481,4
24239,24229,1
31179,31169,4
18111,18141,2
11209,13029,9
53289,53289,1
65281,65249,2
43599,43509,2
98061,98071,8
68151,68171,2
40231,44369,2
64119,64491,3
