ServiceNo	Direction	BusStopCode	Distance
109	2	63199	19.5
109	2	63189	19.8
109	2	63179	20
109	2	63369	20.4
109	2	66059	20.8
109	2	66049	21.2
109	2	66369	21.5
109	2	66389	22
109	2	66009	22.1
109A	1	66009	0
109A	1	66361	0.6
109A	1	66041	1.1
109A	1	66051	1.4
109A	1	63361	1.8
109A	1	63181	2.2
109A	1	63191	2.6
109A	1	63201	2.8
109A	1	63211	3.1
109A	1	64101	3.6
109A	1	64491	4.2
109A	1	64481	4.4
109A	1	64471	4.7
109A	1	64601	4.9
109A	1	64611	5.2
10e	1	85049	0
10e	1	85039	0.3
10e	1	85029	0.5
10e	1	85019	0.7
10e	1	94079	0.9
10e	1	94069	1.5
10e	1	94059	1.8
10e	1	94049	2.2
10e	1	94089	2.4
10e	1	94039	2.7
10e	1	94029	3.1
10e	1	94019	3.3
10e	1	93099	3.7
10e	1	93089	4.2
10e	1	93079	4.5
10e	1	93069	4.8
10e	1	93059	5.2
10e	1	92159	5.5
10e	1	92149	5.8
10e	1	92139	6.1
10e	1	92129	6.6
10e	1	92119	7.1
10e	1	92109	7.3
10e	1	92099	7.6
10e	1	80159	13.5
10e	1	2119	14
10e	1	3019	15
10e	1	3059	15.3
10e	1	3129	15.7
10e	1	3217	16.1
10e	2	3222	0
10e	2	3111	0.7
10e	2	3071	1
10e	2	3031	1.3
10e	2	3011	1.9
10e	2	80151	3.2
10e	2	92091	9.1
10e	2	92101	9.4
10e	2	92111	9.6
10e	2	92121	10.1
10e	2	92131	10.6
10e	2	92141	11
10e	2	92151	11.2
10e	2	93051	11.5
10e	2	93061	11.9
10e	2	93071	12.3
10e	2	93081	12.7
10e	2	93091	13
10e	2	94011	13.4
10e	2	94021	13.8
10e	2	94031	14.1
10e	2	94041	14.5
10e	2	94051	14.9
10e	2	94061	15.4
10e	2	94071	15.9
10e	2	85021	16.2
10e	2	85031	16.6
10e	2	85041	16.8
11	1	80009	0
11	1	80051	0.3
11	1	80119	0.9
11	1	80149	1.5
11	1	80189	2.1
11	1	80179	2.9
11	1	80199	3.2
11	1	80191	3.3
11	1	90039	4.4
11	1	90029	4.9
11	1	90019	5.1
11	1	90079	5.5
11	1	90011	5.8
11	1	90021	6
11	1	90031	6.5
11	1	80199	7.6
11	1	80191	7.7
11	1	80171	8
11	1	80181	8.7
11	1	80141	9.1
11	1	80111	9.7
11	1	80049	10.1
11	1	80009	10.5
110	1	67759	0
110	1	67191	0.4
110	1	67349	0.7
110	1	67359	1.3
110	1	67369	1.5
110	1	67379	1.9
110	1	67761	2.2
110	1	67319	2.5
110	1	67429	2.8
110	1	67599	3.2
110	1	65199	4.7
110	1	95151	16.2
110	1	95011	16.7
110	1	95109	18.1
